ISO,Country,Units,Scale,Country/Series-specific Notes,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Estimates Start After
AFG,Afghanistan,U.S. dollars,Billions,,n/a,4.367,4.553,5.146,6.167,6.925,8.556,10.297,12.066,15.325,17.89,20.293,20.17,20.635,20.22,17.994,18.91,18.401,18.876,19.132,19.938,2019
ALB,Albania,U.S. dollars,Billions,,3.928,4.348,5.611,7.185,8.052,8.896,10.677,12.881,12.044,11.937,12.899,12.324,12.784,13.246,11.389,11.862,13.053,15.147,15.276,15.147,17.138,2019
DZA,Algeria,U.S. dollars,Billions,,54.745,56.761,67.864,85.327,103.198,117.027,134.977,171.001,137.054,161.207,200.251,209.059,209.755,213.81,165.979,160.034,170.207,175.367,171.07,144.294,151.459,2019
AGO,Angola,U.S. dollars,Billions,,10.93,15.286,17.813,23.552,36.971,52.381,65.266,88.539,70.307,83.799,111.79,128.053,136.71,145.712,116.194,101.124,122.124,105.902,89.603,62.44,66.493,2019
ATG,Antigua and Barbuda,U.S. dollars,Billions,,0.801,0.815,0.856,0.92,1.022,1.157,1.311,1.368,1.224,1.149,1.138,1.2,1.181,1.25,1.337,1.437,1.468,1.605,1.662,1.39,1.376,2019
ARG,Argentina,U.S. dollars,Billions,,300.421,112.458,142.431,164.911,199.273,232.892,287.921,363.545,334.633,424.729,527.644,579.666,611.471,563.614,642.464,556.774,643.861,517.244,444.458,388.279,418.15,2019
ARM,Armenia,U.S. dollars,Billions,,2.118,2.376,2.807,3.577,4.9,6.384,9.206,11.662,8.648,9.26,10.142,10.619,11.121,11.61,10.553,10.546,11.527,12.458,13.673,12.339,12.251,2019
ABW,Aruba,U.S. dollars,Billions,,1.896,1.962,2.044,2.255,2.36,2.47,2.678,2.843,2.554,2.454,2.638,2.615,2.728,2.791,2.963,2.984,3.092,3.202,3.342,2.458,2.582,2017
AUS,Australia,U.S. dollars,Billions,,376.714,424.425,539.562,656.735,734.057,781.291,947.89,"1,055.51",998.928,"1,251.85","1,513.68","1,569.32","1,518.43","1,457.39","1,234.82","1,266.27","1,385.19","1,421.30","1,391.54","1,359.33","1,617.54",2020
AUT,Austria,U.S. dollars,Billions,,197.51,214.243,262.208,301.321,316.267,336.298,389.231,432.005,401.323,392.595,431.609,409.661,430.197,442.699,382.01,395.728,417.091,455.301,445.125,428.622,481.796,2019
AZE,Azerbaijan,U.S. dollars,Billions,,5.475,6.232,7.276,8.682,13.273,21.027,33.09,48.979,44.289,52.913,65.99,69.687,74.16,75.24,50.844,37.83,41.375,47.113,48.048,42.607,49.914,2019
BHS,The Bahamas,U.S. dollars,Billions,,8.318,8.881,8.87,9.055,9.836,10.167,10.618,10.526,9.982,10.096,10.07,10.72,10.568,11.112,11.711,11.929,12.491,13.022,13.579,11.25,11.706,2019
BHR,Bahrain,U.S. dollars,Billions,,9.189,9.594,11.075,13.15,15.969,18.505,21.73,25.711,22.938,25.713,28.777,30.749,32.539,33.388,31.051,32.235,35.474,37.654,38.474,33.904,37.503,2019
BGD,Bangladesh,U.S. dollars,Billions,,54.502,55.759,60.108,65.666,69.461,71.815,79.617,91.63,102.478,115.279,128.605,133.304,150.026,172.887,195.147,221.398,249.695,273.3,302.396,329.12,352.908,2020
BRB,Barbados,U.S. dollars,Billions,,3.055,3.106,3.21,3.444,3.82,4.217,4.674,4.785,4.466,4.53,4.658,4.61,4.677,4.696,4.715,4.83,4.978,5.087,5.209,4.365,4.628,2019
BLR,Belarus,U.S. dollars,Billions,,12.778,15.092,18.42,23.928,31.239,38.219,46.815,62.798,50.855,57.22,61.368,65.669,75.496,78.736,56.329,47.703,54.723,60.011,64.414,60.201,60.725,2019
