DATAFLOW,LAST UPDATE,freq,indic_ed,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EDUC_FIGDP(1.0),15/03/19 23:00:00,A,FP01_1,PC,AL,2002,,d
ESTAT:EDUC_FIGDP(1.0),15/03/19 23:00:00,A,FP01_1,PC,AT,1995,6.04,
ESTAT:EDUC_FIGDP(1.0),15/03/19 23:00:00,A,FP01_1,PC,AT,1996,5.94,
ESTAT:EDUC_FIGDP(1.0),15/03/19 23:00:00,A,FP01_1,PC,AT,1997,5.84,
ESTAT:EDUC_FIGDP(1.0),15/03/19 23:00:00,A,FP01_1,PC,AT,1998,5.80,
ESTAT:EDUC_FIGDP(1.0),15/03/19 23:00:00,A,FP01_1,PC,AT,1999,5.86,
ESTAT:EDUC_FIGDP(1.0),15/03/19 23:00:00,A,FP01_1,PC,AT,2000,5.66,
ESTAT:EDUC_FIGDP(1.0),15/03/19 23:00:00,A,FP01_1,PC,AT,2001,5.74,
ESTAT:EDUC_FIGDP(1.0),15/03/19 23:00:00,A,FP01_1,PC,AT,2002,5.68,
ESTAT:EDUC_FIGDP(1.0),15/03/19 23:00:00,A,FP01_1,PC,AT,2003,5.53,
ESTAT:EDUC_FIGDP(1.0),15/03/19 23:00:00,A,FP01_1,PC,AT,2004,5.48,
ESTAT:EDUC_FIGDP(1.0),15/03/19 23:00:00,A,FP01_1,PC,AT,2005,5.44,
ESTAT:EDUC_FIGDP(1.0),15/03/19 23:00:00,A,FP01_1,PC,AT,2006,5.40,
ESTAT:EDUC_FIGDP(1.0),15/03/19 23:00:00,A,FP01_1,PC,AT,2007,5.33,
ESTAT:EDUC_FIGDP(1.0),15/03/19 23:00:00,A,FP01_1,PC,AT,2008,5.47,
ESTAT:EDUC_FIGDP(1.0),15/03/19 23:00:00,A,FP01_1,PC,AT,2009,5.98,
ESTAT:EDUC_FIGDP(1.0),15/03/19 23:00:00,A,FP01_1,PC,AT,2010,5.91,
ESTAT:EDUC_FIGDP(1.0),15/03/19 23:00:00,A,FP01_1,PC,AT,2011,5.80,
